userid1,doc_name,userid2,pat_name
10060,Thomas Quinn,1,David Harris
10036,Alexander Mcdaniel,1,David Harris
10011,Amanda Thomas,1,David Harris
10053,Gregory Pena,2,Mr. William Morgan
10016,James Mitchell,3,Brandon Garcia
10034,Nicholas Barton,3,Brandon Garcia
10037,John Sanders,3,Brandon Garcia
10030,Sonia Rodriguez,3,Brandon Garcia
10009,Gregory Rogers,4,Rebecca Rivera
10021,Maria Strong,4,Rebecca Rivera
10048,Ryan Juarez,4,Rebecca Rivera
10051,Joel Mcdowell,4,Rebecca Rivera
10005,Cory Hopkins,5,Nicole Welch
10075,Heidi Wallace,5,Nicole Welch
10023,Kari Vaughan,5,Nicole Welch
10006,Joshua King,5,Nicole Welch
10023,Kari Vaughan,5,Nicole Welch
10091,Molly Phillips,6,Emily Johnson
10018,Michael Phillips,6,Emily Johnson
10080,Brian Velazquez,6,Emily Johnson
10053,Gregory Pena,6,Emily Johnson
10023,Kari Vaughan,6,Emily Johnson
10045,Russell Mcdonald,7,Thomas Hall
10085,Dale Nguyen,7,Thomas Hall
10007,Kiara Young,8,Thomas Hill
10038,Susan Moreno,9,Jeffrey Brewer
10007,Kiara Young,10,Cynthia Koch
10063,Henry Wiley,10,Cynthia Koch
10042,Deanna Hansen,10,Cynthia Koch
10088,Tara Brown,10,Cynthia Koch
10002,Paige Lee,11,Kenneth Lam
10037,John Sanders,11,Kenneth Lam
10094,Jason Wright,12,Brenda Cruz
10027,Brittany Huff,12,Brenda Cruz
10022,Robert Howard,12,Brenda Cruz
10100,David Moore,13,Jacqueline Burns
10032,Danny Knapp,14,Crystal Buck
10026,Emily Myers,14,Crystal Buck
10043,James Davis,14,Crystal Buck
10019,Sara Williams,15,Teresa Hughes
10026,Emily Myers,15,Teresa Hughes
10040,Jamie Smith,15,Teresa Hughes
10089,Melissa Olson,15,Teresa Hughes
10066,Tracy Malone,16,Jennifer Taylor
10006,Joshua King,16,Jennifer Taylor
10075,Heidi Wallace,17,Helen Brown
10076,Antonio Gates,18,Charles Hunter
10053,Gregory Pena,18,Charles Hunter
10054,Cynthia Craig,19,Richard Ortega
10048,Ryan Juarez,19,Richard Ortega
10013,Melanie Camacho,19,Richard Ortega
10033,Jessica Wilson,20,Jamie Lyons
10044,Steven Lloyd,20,Jamie Lyons
10092,John Jackson,20,Jamie Lyons
10075,Heidi Wallace,21,Kathleen Rangel
10090,Michael Rodriguez,21,Kathleen Rangel
10001,Tracey Sanchez,21,Kathleen Rangel
10088,Tara Brown,21,Kathleen Rangel
10095,David Green,21,Kathleen Rangel
10060,Thomas Quinn,22,Tracie Walker
10001,Tracey Sanchez,22,Tracie Walker
10003,Jonathan Griffith,22,Tracie Walker
10053,Gregory Pena,22,Tracie Walker
10048,Ryan Juarez,23,Cameron Green
10089,Melissa Olson,24,Terry Phillips
10011,Amanda Thomas,24,Terry Phillips
10001,Tracey Sanchez,24,Terry Phillips
10061,Frank Berger,25,William Evans DDS
10061,Frank Berger,25,William Evans DDS
10039,Andrew Hood,25,William Evans DDS
10044,Steven Lloyd,25,William Evans DDS
10037,John Sanders,25,William Evans DDS
10050,Jessica Ryan,26,Jill Santiago
10022,Robert Howard,26,Jill Santiago
10087,Jennifer Howard,26,Jill Santiago
10075,Heidi Wallace,26,Jill Santiago
10003,Jonathan Griffith,26,Jill Santiago
10029,Mckenzie Scott,27,David Williams
10056,Kenneth Robinson,27,David Williams
10004,Wendy Evans,27,David Williams
10054,Cynthia Craig,27,David Williams
10074,Laura Thompson,28,Daniel Keith
10021,Maria Strong,28,Daniel Keith
10082,Steven Knight,28,Daniel Keith
10054,Cynthia Craig,29,Michelle Price
10058,Mrs. Kelly Armstrong,29,Michelle Price
10002,Paige Lee,30,Tammy Morris
10069,Tamara Thomas,30,Tammy Morris
10047,Ryan Wilson,30,Tammy Morris
10062,Christopher Horton,30,Tammy Morris
10013,Melanie Camacho,31,Jessica Le
10011,Amanda Thomas,31,Jessica Le
