user_id,name,patient,doctor
1,David Harris,y,n
2,Mr. William Morgan,y,n
3,Brandon Garcia,y,n
4,Rebecca Rivera,y,n
5,Nicole Welch,y,n
6,Emily Johnson,y,n
7,Thomas Hall,y,n
8,Thomas Hill,y,n
9,Jeffrey Brewer,y,n
10,Cynthia Koch,y,n
11,Kenneth Lam,y,n
12,Brenda Cruz,y,n
13,Jacqueline Burns,y,n
14,Crystal Buck,y,n
15,Teresa Hughes,y,n
16,Jennifer Taylor,y,n
17,Helen Brown,y,n
18,Charles Hunter,y,n
19,Richard Ortega,y,n
20,Jamie Lyons,y,n
21,Kathleen Rangel,y,n
22,Tracie Walker,y,n
23,Cameron Green,y,n
24,Terry Phillips,y,n
25,William Evans DDS,y,n
26,Jill Santiago,y,n
27,David Williams,y,n
28,Daniel Keith,y,n
29,Michelle Price,y,n
30,Tammy Morris,y,n
31,Jessica Le,y,n
32,Alexander Donaldson,y,n
33,Angela White,y,n
34,Amy Parker,y,n
35,Sara Conrad,y,n
36,Rhonda Carroll,y,n
37,Amanda Charles,y,n
38,Rachel Long,y,n
39,Melinda Roberts,y,n
40,Jesus Jones,y,n
41,Ryan White,y,n
42,Brian Smith,y,n
43,Christopher Garner,y,n
44,Wesley Walton,y,n
45,Robert Villegas,y,n
46,Brandon Marsh,y,n
47,Kimberly Jones,y,n
48,Julian Norris,y,n
49,Valerie Sanchez,y,n
50,Carol Owens,y,n
51,Megan Mann,y,n
52,Angela Montgomery,y,n
53,Zachary Burke,y,n
54,Keith Barnes,y,n
55,Craig Christensen,y,n
56,John Wright,y,n
57,Amy Carroll,y,n
58,Joshua Johnson,y,n
59,Sean Ayala,y,n
60,Meredith Lopez,y,n
61,Christina Jackson,y,n
62,Kara Wright,y,n
63,Lisa Townsend,y,n
64,John Sims,y,n
65,Debra Stanton,y,n
66,Andrea Fisher,y,n
67,Christina Rowe,y,n
68,Patricia Dennis MD,y,n
69,Katherine Davis,y,n
70,Lindsey Mccann,y,n
71,John Fowler,y,n
72,Stephanie Castro,y,n
73,Jeffrey Scott,y,n
74,Colin Harding,y,n
75,Austin Gibson,y,n
76,Zachary Ritter,y,n
77,Michelle Henderson,y,n
78,David Cervantes PhD,y,n
79,Joshua Martinez,y,n
80,Kimberly Smith,y,n
81,Craig Krause,y,n
82,Clayton Morales,y,n
83,Christopher Mullins,y,n
84,Gerald Little,y,n
85,Leslie Kelley,y,n
86,Kimberly Payne,y,n
87,Pamela Smith,y,n
88,Susan Smith,y,n
89,Brandon Harper,y,n
90,Ashley Bennett,y,n
91,Frank Palmer,y,n
92,George Bell,y,n
93,Jodi Ball,y,n
94,Raymond Simon,y,n
95,Zachary Gonzalez,y,n
96,Jennifer Gonzales,y,n
97,Thomas Rojas,y,n
98,Aaron Tanner DDS,y,n
99,Martin Allen,y,n
100,Eric James Jr.,y,n
101,Keith Clark,y,n
102,Jacqueline Bray,y,n
103,Mark Garcia,y,n
104,John Meyers,y,n
105,Kevin Bolton,y,n
106,Rebecca Parrish,y,n
107,Jennifer Malone,y,n
108,Jesse Garza,y,n
109,Olivia Williams,y,n
110,Tonya Alvarez,y,n
111,Mitchell Briggs,y,n
112,Andrea Stewart,y,n
113,Rodney Cole,y,n
114,Elizabeth Taylor,y,n
115,Lauren Gordon,y,n
116,Jesse Mitchell,y,n
117,Maxwell Reed,y,n
118,James Oliver,y,n
119,Zachary Caldwell,y,n
120,Andrea Gray,y,n
121,Joshua Wilson,y,n
122,Susan Mcconnell,y,n
123,Jillian Mason,y,n
124,Jennifer Simon,y,n
125,Alexander Robinson,y,n
126,Crystal Wilson,y,n
127,Joseph Castillo,y,n
